Year,Violation_Group,Category,Value,Category_Group
2011,DUI,FHP_Count,522,Original Violations
2011,RECKLESS DR,FHP_Count,45,Original Violations
2011,LV SCENE ACC,FHP_Count,93,Original Violations
2011,FLEEING,FHP_Count,14,Original Violations
2011,RACING ON HWY,FHP_Count,6,Original Violations
2011,NO/IMP/EXP DL,FHP_Count,1235,Original Violations
2011,DR/DL/SUS/RV,FHP_Count,2020,Original Violations
2011,VIO/DL/REST,FHP_Count,17,Original Violations
2011,UNL/USE/DL,FHP_Count,36,Original Violations
2011,NO/IMP/EXP TAG,FHP_Count,471,Original Violations
2011,OTHER CRIME,FHP_Count,255,Original Violations
2011,SPD POST ZONE,FHP_Count,24967,Original Violations
2011,SPD /TO F/COND,FHP_Count,70,Original Violations
2011,CARELESS DR,FHP_Count,2137,Original Violations
2011,UNK DR/DL/SUS/RV,FHP_Count,867,Original Violations
2011,FL/YLD/R-O-W,FHP_Count,572,Original Violations
2011,R/STOP SIGN,FHP_Count,43,Original Violations
2011,RED LIGHT CAMERA,FHP_Count,2,Original Violations
2011,RAN RED LIGHT,FHP_Count,373,Original Violations
2011,TR/CNTL/DEV,FHP_Count,425,Original Violations
2011,IMP TURN,FHP_Count,56,Original Violations
2011,F/T/S SCHOOL BUS,FHP_Count,15,Original Violations
2011,IMP PASSING,FHP_Count,183,Original Violations
2011,FOLLOW/CLOSE,FHP_Count,300,Original Violations
2011,W/SIDE OF RD,FHP_Count,74,Original Violations
2011,IMP LANE CHG,FHP_Count,950,Original Violations
2011,IMP BACKING,FHP_Count,51,Original Violations
2011,DR/W-O/LIGHT,FHP_Count,100,Original Violations
2011,FAIL/DIM/LIGHTS,FHP_Count,20,Original Violations
2011,CHILD RESTRAINT,FHP_Count,190,Original Violations
2011,TOLL VIOLATIONS,FHP_Count,23,Original Violations
2011,OTHER MOV,FHP_Count,6474,Original Violations
2011,LOAD/LEAK/DP,FHP_Count,54,Original Violations
2011,IMP PARKING,FHP_Count,87,Original Violations
2011,NO HELMET,FHP_Count,26,Original Violations
2011,DEF/UNSAFE EQUIP,FHP_Count,1429,Original Violations
2011,SEAT BELT VIOL,FHP_Count,8528,Original Violations
2011,EXP/FAIL DISP DL,FHP_Count,2080,Original Violations
2011,EXP/FAIL DISP TAG,FHP_Count,6976,Original Violations
2011,NO PROOF OF INSUR.,FHP_Count,9118,Original Violations
2011,BICYCLE/PED,FHP_Count,178,Original Violations
2011,OTHER,FHP_Count,2698,Original Violations
2012,DUI,FHP_Count,421,Original Violations
2012,RECKLESS DR,FHP_Count,29,Original Violations
2012,LV SCENE ACC,FHP_Count,71,Original Violations
2012,FLEEING,FHP_Count,7,Original Violations
2012,RACING ON HWY,FHP_Count,4,Original Violations
2012,NO/IMP/EXP DL,FHP_Count,958,Original Violations
2012,DR/DL/SUS/RV,FHP_Count,1623,Original Violations
2012,VIO/DL/REST,FHP_Count,46,Original Violations
2012,UNL/USE/DL,FHP_Count,19,Original Violations
2012,NO/IMP/EXP TAG,FHP_Count,469,Original Violations
2012,OTHER CRIME,FHP_Count,245,Original Violations
2012,SPD POST ZONE,FHP_Count,24527,Original Violations
2012,SPD /TO F/COND,FHP_Count,101,Original Violations
2012,CARELESS DR,FHP_Count,2012,Original Violations
2012,UNK DR/DL/SUS/RV,FHP_Count,851,Original Violations
2012,FL/YLD/R-O-W,FHP_Count,1473,Original Violations
2012,R/STOP SIGN,FHP_Count,41,Original Violations
2012,RED LIGHT CAMERA,FHP_Count,30,Original Violations
2012,RAN RED LIGHT,FHP_Count,453,Original Violations
2012,TR/CNTL/DEV,FHP_Count,231,Original Violations
2012,IMP TURN,FHP_Count,88,Original Violations
2012,F/T/S SCHOOL BUS,FHP_Count,9,Original Violations
2012,IMP PASSING,FHP_Count,145,Original Violations
2012,FOLLOW/CLOSE,FHP_Count,261,Original Violations
2012,W/SIDE OF RD,FHP_Count,63,Original Violations
2012,IMP LANE CHG,FHP_Count,812,Original Violations
2012,IMP BACKING,FHP_Count,63,Original Violations
2012,DR/W-O/LIGHT,FHP_Count,63,Original Violations
2012,FAIL/DIM/LIGHTS,FHP_Count,8,Original Violations
2012,CHILD RESTRAINT,FHP_Count,154,Original Violations
2012,TOLL VIOLATIONS,FHP_Count,20,Original Violations
2012,OTHER MOV,FHP_Count,6048,Original Violations
2012,LOAD/LEAK/DP,FHP_Count,44,Original Violations
2012,IMP PARKING,FHP_Count,67,Original Violations
2012,NO HELMET,FHP_Count,15,Original Violations
2012,DEF/UNSAFE EQUIP,FHP_Count,1215,Original Violations
2012,SEAT BELT VIOL,FHP_Count,5715,Original Violations
2012,EXP/FAIL DISP DL,FHP_Count,1764,Original Violations
2012,EXP/FAIL DISP TAG,FHP_Count,6344,Original Violations
2012,NO PROOF OF INSUR.,FHP_Count,8539,Original Violations
2012,BICYCLE/PED,FHP_Count,220,Original Violations
2012,OTHER,FHP_Count,1835,Original Violations
2013,DUI,FHP_Count,373,Original Violations
2013,RECKLESS DR,FHP_Count,32,Original Violations
2013,LV SCENE ACC,FHP_Count,76,Original Violations
2013,FLEEING,FHP_Count,12,Original Violations
2013,RACING ON HWY,FHP_Count,3,Original Violations
2013,NO/IMP/EXP DL,FHP_Count,1077,Original Violations
2013,DR/DL/SUS/RV,FHP_Count,1865,Original Violations
2013,VIO/DL/REST,FHP_Count,35,Original Violations
2013,UNL/USE/DL,FHP_Count,33,Original Violations
2013,NO/IMP/EXP TAG,FHP_Count,493,Original Violations
2013,OTHER CRIME,FHP_Count,179,Original Violations
2013,SPD POST ZONE,FHP_Count,27783,Original Violations
2013,SPD /TO F/COND,FHP_Count,101,Original Violations
2013,CARELESS DR,FHP_Count,2316,Original Violations
2013,UNK DR/DL/SUS/RV,FHP_Count,945,Original Violations
2013,FL/YLD/R-O-W,FHP_Count,838,Original Violations
2013,R/STOP SIGN,FHP_Count,61,Original Violations
2013,RED LIGHT CAMERA,FHP_Count,14,Original Violations
2013,RAN RED LIGHT,FHP_Count,494,Original Violations
2013,TR/CNTL/DEV,FHP_Count,342,Original Violations
2013,IMP TURN,FHP_Count,158,Original Violations
2013,F/T/S SCHOOL BUS,FHP_Count,12,Original Violations
2013,IMP PASSING,FHP_Count,167,Original Violations
2013,FOLLOW/CLOSE,FHP_Count,253,Original Violations
2013,W/SIDE OF RD,FHP_Count,44,Original Violations
2013,IMP LANE CHG,FHP_Count,775,Original Violations
2013,IMP BACKING,FHP_Count,73,Original Violations
2013,DR/W-O/LIGHT,FHP_Count,75,Original Violations
2013,FAIL/DIM/LIGHTS,FHP_Count,11,Original Violations
2013,CHILD RESTRAINT,FHP_Count,181,Original Violations
2013,TOLL VIOLATIONS,FHP_Count,5,Original Violations
2013,OTHER MOV,FHP_Count,7869,Original Violations
2013,LOAD/LEAK/DP,FHP_Count,61,Original Violations
2013,IMP PARKING,FHP_Count,45,Original Violations
2013,NO HELMET,FHP_Count,30,Original Violations
2013,DEF/UNSAFE EQUIP,FHP_Count,1076,Original Violations
2013,SEAT BELT VIOL,FHP_Count,6487,Original Violations
2013,EXP/FAIL DISP DL,FHP_Count,1468,Original Violations
2013,EXP/FAIL DISP TAG,FHP_Count,5955,Original Violations
2013,NO PROOF OF INSUR.,FHP_Count,7654,Original Violations
2013,BICYCLE/PED,FHP_Count,253,Original Violations
2013,OTHER,FHP_Count,1686,Original Violations
2014,DUI,FHP_Count,281,Original Violations
2014,RECKLESS DR,FHP_Count,38,Original Violations
2014,LV SCENE ACC,FHP_Count,104,Original Violations
2014,FLEEING,FHP_Count,6,Original Violations
2014,RACING ON HWY,FHP_Count,8,Original Violations
2014,NO/IMP/EXP DL,FHP_Count,1022,Original Violations
2014,DR/DL/SUS/RV,FHP_Count,1579,Original Violations
2014,VIO/DL/REST,FHP_Count,19,Original Violations
2014,UNL/USE/DL,FHP_Count,15,Original Violations
2014,NO/IMP/EXP TAG,FHP_Count,370,Original Violations
2014,OTHER CRIME,FHP_Count,165,Original Violations
2014,SPD POST ZONE,FHP_Count,26441,Original Violations
2014,SPD /TO F/COND,FHP_Count,138,Original Violations
2014,CARELESS DR,FHP_Count,2539,Original Violations
2014,UNK DR/DL/SUS/RV,FHP_Count,1005,Original Violations
2014,FL/YLD/R-O-W,FHP_Count,989,Original Violations
2014,R/STOP SIGN,FHP_Count,39,Original Violations
2014,RED LIGHT CAMERA,FHP_Count,27,Original Violations
2014,RAN RED LIGHT,FHP_Count,439,Original Violations
2014,TR/CNTL/DEV,FHP_Count,402,Original Violations
2014,IMP TURN,FHP_Count,152,Original Violations
2014,F/T/S SCHOOL BUS,FHP_Count,7,Original Violations
2014,IMP PASSING,FHP_Count,226,Original Violations
2014,FOLLOW/CLOSE,FHP_Count,311,Original Violations
2014,W/SIDE OF RD,FHP_Count,67,Original Violations
2014,IMP LANE CHG,FHP_Count,879,Original Violations
2014,IMP BACKING,FHP_Count,79,Original Violations
2014,DR/W-O/LIGHT,FHP_Count,77,Original Violations
2014,FAIL/DIM/LIGHTS,FHP_Count,6,Original Violations
2014,CHILD RESTRAINT,FHP_Count,111,Original Violations
2014,TOLL VIOLATIONS,FHP_Count,3,Original Violations
2014,OTHER MOV,FHP_Count,7952,Original Violations
2014,LOAD/LEAK/DP,FHP_Count,53,Original Violations
2014,IMP PARKING,FHP_Count,39,Original Violations
2014,NO HELMET,FHP_Count,29,Original Violations
2014,DEF/UNSAFE EQUIP,FHP_Count,1165,Original Violations
2014,SEAT BELT VIOL,FHP_Count,4261,Original Violations
